valdkond;juurprobleem;ettepanek;peavastutaja;staatus;kommentaar
Metsandus ja puidutööstus;Valdkonna tööjõuvajadus tervikuna on pigem kasvav ja tasemeõppe lõpetajate osas jääb täna koolituspakkumine koolitusvajadusele alla ning valdkonnas on sobivate oskustega tööjõu puudus.;Tööturule sisenejate õppes arendada arusaamist kaasaegsest metsamajandusest ja puidutööstusest ning nende rollist majanduses tervikuna, viies MP erineva taseme õppekavadesse majanduse ja ettevõtluse ning metsamajandamise teemad viisil, et kasvaks lõpetajate üldistusvõime ja „suure pildi“ nägemise oskus ning et õppeprotsessi oleks senisest veel enam kaasatud praktikuid ettevõtetest.;Haridus- ja Teadusministeerium;Ootel;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Erialaliidud on valmis võtma eestvedaja rolli, et populariseerida valdkonna erialasid noorte seas.;Jätkata põhihariduse järgse kutseõppe osakaalu suurendamist.;Haridus- ja Teadusministeerium;Ootel;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Erialaliidud on valmis võtma eestvedaja rolli, et populariseerida valdkonna erialasid noorte seas.;Analüüsida valdkondliku õppe kättesaadavust majanduslikult vähem kindlustatud noortele ning vajadusel käivitada täiendav toetuspakett.;Haridus- ja Teadusministeerium;Ootel;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Valdkonna tööjõuvajadus tervikuna on pigem kasvav ja tasemeõppe lõpetajate osas jääb täna koolituspakkumine koolitusvajadusele alla ning valdkonnas on sobivate oskustega tööjõu puudus.;Kujundada Luua Metsanduskoolist metsanduse erialade 3.–5. taseme kutseõppe „liiderkool/juhtkool“ eesmärgiga tagada kvaliteetne õpe ja kasutada piiratud ressursse hariduses efektiivselt.;Haridus- ja Teadusministeerium;Ootel;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Valdkonna tööjõuvajadus tervikuna on pigem kasvav ja tasemeõppe lõpetajate osas jääb täna koolituspakkumine koolitusvajadusele alla ning valdkonnas on sobivate oskustega tööjõu puudus.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Haridus- ja Teadusministeerium;Ootel;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Tööandjad väärtustavad spetsialistide värbamisel praktilisema õppe lõpetajaid (sh rakenduskõrgharidus), kelle tööoskused on koheseks tööle asumiseks sobivamad. Metsanduse ja puidutööstuse erialadel oodatakse ka kõrghariduses praktilise õppe osatähtsuse kasvu.;Teavitada ettevõtjaid töökohapõhise õppe võimalustest, selle kasust ettevõttele ning õppe korraldamise tingimustest, sh praktikajuhendajate koolitamine, kaasnevate kulude kompenseerimine jne.;Haridus- ja Teadusministeerium;Ootel;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Tööandjad väärtustavad spetsialistide värbamisel praktilisema õppe lõpetajaid (sh rakenduskõrgharidus), kelle tööoskused on koheseks tööle asumiseks sobivamad. Metsanduse ja puidutööstuse erialadel oodatakse ka kõrghariduses praktilise õppe osatähtsuse kasvu.;Leida lahendused kutseõpetajate stažeerimisvõimaluste regulaarseks ja tõhusaks rakendamiseks. Eriti tehnoloogiatega seotud aineid õpetavatel õppejõududel ja õpetajatel on vajalik läbida stažeerimine tootmisettevõttes.;Haridus- ja Teadusministeerium;Ootel;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Tööandjad väärtustavad spetsialistide värbamisel praktilisema õppe lõpetajaid (sh rakenduskõrgharidus), kelle tööoskused on koheseks tööle asumiseks sobivamad. Metsanduse ja puidutööstuse erialadel oodatakse ka kõrghariduses praktilise õppe osatähtsuse kasvu.;Teadvustada vajadust jätkata harvesteride ja forvarderite ning nende simulaatorite uuendamisesse investeerimist. Otsida võimalusi kaasata investeeringutesse erinevaid partnereid.;Haridus- ja Teadusministeerium;Ootel;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Valdkonna tööjõuvajadus tervikuna on pigem kasvav ja tasemeõppe lõpetajate osas jääb täna koolituspakkumine koolitusvajadusele alla ning valdkonnas on sobivate oskustega tööjõu puudus.;Korrigeerida pingioperaatorite koolitusmahtusid nii taseme-, täiendus- kui ümberõppes — vähendada tava-puidupingioperaatorite õpet ja suurendada proportsionaalset CNC töötlemiskeskuse operaatorite õpet.;Haridus- ja Teadusministeerium;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Valdkonna tööjõuvajadus tervikuna on pigem kasvav ja tasemeõppe lõpetajate osas jääb täna koolituspakkumine koolitusvajadusele alla ning valdkonnas on sobivate oskustega tööjõu puudus.;Suurendada harvesteri- ja forvarderioperaatorite lõpetajate arvu järk-järgult lähema 10 aasta jooksul 30 harvesteri- ja 30 forvarderioperaatorini aastas.;Haridus- ja Teadusministeerium;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Valdkonna tööjõuvajadus tervikuna on pigem kasvav ja tasemeõppe lõpetajate osas jääb täna koolituspakkumine koolitusvajadusele alla ning valdkonnas on sobivate oskustega tööjõu puudus.;Vähendada raietööliste koolitusmahtusid järk-järgult poole võrra lähema 10 aasta jooksul.;Haridus- ja Teadusministeerium;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Valdkonna tööjõuvajadus tervikuna on pigem kasvav ja tasemeõppe lõpetajate osas jääb täna koolituspakkumine koolitusvajadusele alla ning valdkonnas on sobivate oskustega tööjõu puudus.;Kaasajastada puitmajade tootmise valdkonna kutseõppe sisu, konsolideerides senised valdkonnasuunitlusega õppekavad (palkmajaehitaja, ehituspuusepp (palkmajaehitaja) puitmajade (sh käsitöö-palkmaja) ehitaja ja tootja ning puitkonstruktsioonide püstitajate õppekavaks.;Haridus- ja Teadusministeerium;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Arenguhüppeks ja lisandväärtuse kasvatamiseks vajab valdkond uuenduslikku ja loovat lähenemist ning oskust valdkonnaspetsiifiliste IKT-võimaluste kasutamiseks;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Haridus- ja Teadusministeerium;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Tööandjad väärtustavad spetsialistide värbamisel praktilisema õppe lõpetajaid (sh rakenduskõrgharidus), kelle tööoskused on koheseks tööle asumiseks sobivamad. Metsanduse ja puidutööstuse erialadel oodatakse ka kõrghariduses praktilise õppe osatähtsuse kasvu.;Analüüsida koolide ja haridusliikide üleselt metsanduse ja puidutööstuse valdkonna õppekavasid ning nende juurde loomise ja muutmise vajadusi ning võimalusi.;Keskkonnaministeerium;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Arenguhüppeks ja lisandväärtuse kasvatamiseks vajab valdkond uuenduslikku ja loovat lähenemist ning oskust valdkonnaspetsiifiliste IKT-võimaluste kasutamiseks;Analüüsida Eestisse puidukeemia ja biotoodete tehnoloogiate alase teadus- ja arendustöö tippkeskuse rajamise vajadust ja võimalikkust, et tööstusettevõtted saaksid teha teadlastega koostööd tööstuslike biotehnoloogiate väljatöötamisel, ning sellega seonduvate lisaressursside vajadust, sh välisõppejõudude ja teadlaste toomiseks Eestisse.;Keskkonnaministeerium;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Valdkonna tööjõuvajadus tervikuna on pigem kasvav ja tasemeõppe lõpetajate osas jääb täna koolituspakkumine koolitusvajadusele alla ning valdkonnas on sobivate oskustega tööjõu puudus.;Tehnilise joonestamise kompetentsiga töötajate puudujäägi (aastas 15 inimest) katmiseks puitmajaehituses ja mööblitööstuses töötada välja täienduskoolituse õppekava või lisada vastav spetsialiseerumine nt tisleri õppekavasse. Enne tehnik-joonestaja tasemeõppe käivitamist on vaja põhjalikult analüüsida erinevate põhikutsealade (tootmisjuht, tootearendaja, mööblitoodete tehnoloog ja tehnik-joonestaja) erisusi ja kattuvusi, mida on võimalik teha kutsestandardite kaardistamise käigus.;Keskkonnaministeerium;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Tööandjad väärtustavad spetsialistide värbamisel praktilisema õppe lõpetajaid (sh rakenduskõrgharidus), kelle tööoskused on koheseks tööle asumiseks sobivamad. Metsanduse ja puidutööstuse erialadel oodatakse ka kõrghariduses praktilise õppe osatähtsuse kasvu.;Pöörata õppe läbiviimisel senisest enam tähelepanu aktiivõppe meetodite (nt probleemipõhine õpe, meeskonnatöö, projektitöö) kasutamisele, seda ka erinevate erialade õppureid tiimidesse lõimides.;Keskkonnaministeerium;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Metsandus ja puidutööstus;Tööandjad väärtustavad spetsialistide värbamisel praktilisema õppe lõpetajaid (sh rakenduskõrgharidus), kelle tööoskused on koheseks tööle asumiseks sobivamad. Metsanduse ja puidutööstuse erialadel oodatakse ka kõrghariduses praktilise õppe osatähtsuse kasvu.;Tõhustada omavahel oluliselt materiaal-tehniliste õppebaaside ristkasutust.;Keskkonnaministeerium;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Meedia, kirjastamine, reklaam, disain;Valdkonna tööjõuvajadus tervikuna on pigem kasvav ja tasemeõppe lõpetajate osas jääb täna koolituspakkumine koolitusvajadusele alla ning valdkonnas on sobivate oskustega tööjõu puudus.;Käivitada puitplaatide tootjate, vineeritöötlejate ja saematerjalide tootmisega seotud liinioperaatorite täiendus- ja ümberõpe (sh töökohapõhine õpe), vajab valdkond hinnanguliselt 115 inimest aastas.;Luua Metsanduskool;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Meedia, kirjastamine, reklaam, disain;Tööandjad väärtustavad spetsialistide värbamisel praktilisema õppe lõpetajaid (sh rakenduskõrgharidus), kelle tööoskused on koheseks tööle asumiseks sobivamad. Metsanduse ja puidutööstuse erialadel oodatakse ka kõrghariduses praktilise õppe osatähtsuse kasvu.;Kasutada tudengite lõputöö teemadena enam ettevõtetele oluliste teemade uurimist ja elust lähtuvate probleemide lahendamist ning ärgitada ettevõtjaid teemasid välja pakkuma.;Luua Metsanduskool;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Meedia, kirjastamine, reklaam, disain;Valdkonna tööjõuvajadus tervikuna on pigem kasvav ja tasemeõppe lõpetajate osas jääb täna koolituspakkumine koolitusvajadusele alla ning valdkonnas on sobivate oskustega tööjõu puudus.;Arhitektide ja projekteerijate õppes suurendada tähelepanu puitkonstruktsioonil hoonete projekteerimisele, viies vastavatesse arhitektuuri ja ehitusinseneride õppekavadesse sisse senisest suuremas mahus puithoonete projekteerimist toetavaid aineid.;Luua Metsanduskool;Töös;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
